Token Address,first_seen,seen_count,launch_ts,launch_pair,launch_liquidity_usd
9FyERA7vjSDXVEGDskjYjTfymQ7XTqJt6dbVDCWmpump,2026-01-16T12:30:25.136828+00:00,,1767257352,Eme9CdDzJt5ZyYcsm1TmTwYncJFHv3Xo4TEYaLidkB11,41914.39
41k34GnszeQRkcuWcuRkYTWDPrscvPG4REbHjfPDBAGS,2026-01-16T12:30:25.136828+00:00,,,,
5ke7NaLEspUT9zE2S3XPAKktPhU6zvWb7xt9LthXBAGS,2026-01-16T12:30:25.136828+00:00,,1766561777,Bao6fhJ5JV2YJnajy9da5CjRPQ8aUz8dMig55cGw1tVE,17501.1
H7uU8TKmz3om6cepKJvdEckB79dg4zFMU2p5v1kcbonk,2026-01-16T12:30:25.136828+00:00,,1768406940,HkV9WJW1X6XVoYwgCf7E3cwaVH2cYFTKKoy2VgT5kMMN,2309.52
AGLZVnAaFBUW2T4vkdukFV8A4it6uyHvCzQPJTcrpump,2026-01-16T12:30:25.136828+00:00,15,,,
F9CpWoyeBJfoRB8f2pBe2ZNPbPsEE76mWZWme3StsvHK,2026-01-16T12:30:25.136828+00:00,20,,,
3VXggYXiLnxYtmbwLjN38bLqboi9MPsHrBdRvwX7pump,2026-01-16T12:30:25.136828+00:00,,1768662190,RbxUaLWDSBvfrjqRd8p3Y1GF6dBpheSsuVLp7Z2vvV9,11689.34
2ESXeCDXA7yzLWyqCdpWhFWz2ts43dNiij4PMm6FtByJ,2026-01-16T12:30:25.136828+00:00,20,,,
2DKhnrgnrNYQCgW8BhQ9pDqhPt14rzeLL6DnPeoiBhUt,2026-01-16T12:30:25.136828+00:00,,,,
ENgSDTZjZHLrXkYbQP3j3vzD9ANdnc8VCs9yxi1cMi55,2026-01-16T12:30:25.136828+00:00,2,,,
oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,2026-01-16T12:30:25.136828+00:00,21,1722652671,7XNR3Ysqg2MbfQX8iMWD4iEF96h2GMsWNT8eZYsLTmua,107888.8
F8cNjtPG2L2y88vug58RghT5Tirqba3W66TEdxSjpump,2026-01-16T12:30:25.136828+00:00,,,,
B5zvYQANmqupXQMjusM7vsJxXazF5u2g9MHcomKEpump,2026-01-16T12:30:25.136828+00:00,,,,
7h5AzpYTAnh4Gyux8Gqko5Fvx4AYQBZdkzHZ2CsBudvJ,2026-01-16T12:30:25.136828+00:00,16,,,
4cWvsyM8YeA8fE1K8hBFmfzkMHxTpMqKzd73X9w5pump,2026-01-16T12:30:25.136828+00:00,,,,
CGTKNjw3KZ4vdo1i7Qs5PWprMYqQGPXy8nJj649n7h69,2026-01-16T12:30:25.136828+00:00,2,,,
D4yR6oNXiZ3gLtYHTnJtHeJ63z22rPyoNnqr9xR8pump,2026-01-16T12:30:25.136828+00:00,,,,
CkTRgxTpAudYrZR31wAyTkg1phVfgY7CpfX1ZAyPBAGS,2026-01-16T12:30:25.136828+00:00,,,,
GbRU3mq5CGTkFYxtvYMEbcVxtQAsC1k4DRYGeiDUbonk,2026-01-16T12:30:25.136828+00:00,,,,
