Token Address,reason,pairs_count,liquidity_usd,liquidity_fmt,launch_dt,launch_conf,vol24,vol24_fmt,launch_age_days
HFX7HUQUYQ6iUD1PCb8QongZLr2GvNPWqHHH2idipump,no_valid_launch_pair,1.0,,,,,,,
39Mzpdw7NDGiXmZZGWiCdR6Nzoc7muWuYkPsVDV4pump,no_valid_launch_pair,5.0,,,,,,,
HzCxWVU4rVWWiPc6jVHuvGvP5zW3XSkfzVrJagZQpump,no_valid_launch_pair,1.0,,,,,,,
9C37red8jz4uPA5dnPmFt8Whv8PsjbfM16zJaTzrpump,no_valid_launch_pair,1.0,,,,,,,
7TWvsGjsYkv66WRBXxhVctUiDsBQvdAivxmrJ5Cspump,no_valid_launch_pair,1.0,,,,,,,
72qDUjZisehaMKgTsMWp6n2ubiXHvMooNXvHGvJApump,liquidity<25000.0,1.0,4794.08,4.79k,,,,,
6aiHLq7jL8U8PKu7H8yYWSwBfC2mdLCZvfFypZjzpump,no_valid_launch_pair,1.0,,,,,,,
FundBu4kydruhzmoJ2LQCA8u9T8CX33gfsozy92fcd3S,no_valid_launch_pair,1.0,,,,,,,
DD4jtnKdyPakShSx1JRwHu7Sk1UouM6Yn9vwtQJGpump,liquidity<25000.0,3.0,11970.63,11.97k,,,,,
2E96NQiJZy9FHFFMRpfMF3Gqrvn4TjB1e4fhi9gbpump,liquidity<25000.0,1.0,3130.67,3.13k,,,,,
Hthz6nkB37mAMMGmxQ3mstuT54gQ1Knv9dk8iB9fdoge,launch_older_than_30.0d,3.0,,,2025-11-25T16:33:38+00:00,low,,,
BY57WnfWEdyTLApZdJsSRTJ9nhXoj1iibnR2C76spump,no_valid_launch_pair,1.0,,,,,,,
GWqpvVxyBFqsz9VBJxG4jTuA2w3DDCtCNCNiYyrspump,liquidity<25000.0,1.0,4538.81,4.54k,,,,,
7AdrLapGgRjhPWxtXnu2qtuFdMF8S5to4Q1b8j5jpump,vol24<200000.0,2.0,,,,,101157.69,101.16k,
CzYbTUyFPzcGrzepo6P1tRwSoahM9iNsuevFAd85oyqN,vol24<200000.0,1.0,,,,,2101.76,2.10k,
2qT8JVotQ2C1gKbqpuqNatkpSBWxiKHbXkCyTqH9pump,vol24<200000.0,5.0,,,,,156969.04,156.97k,
2K54KyJU1SdVZwTfjHpnYTKnXd3en94goGr74HWTpump,no_valid_launch_pair,1.0,,,,,,,
7tAnusL3srXjzEriVL86a23KgwDZKXJTZ2ezEUubonk,launch_older_than_30.0d,2.0,,,2025-07-25T23:55:12+00:00,low,,,
7cyAGa4XsNDnSgnFuwmVFgp9JGqZoZYkiVyFPSke9CuP,no_valid_launch_pair,1.0,,,,,,,
4AZp5ER8ZySbTAdBAPH6fLEsf6Wc1FSB2HwVrVVoxX4w,no_valid_launch_pair,1.0,,,,,,,
JCJf1SKqzVT8QD5UE5wMTfwfUC72pEL5QHn3WForpump,no_valid_launch_pair,1.0,,,,,,,
21AErpiB8uSb94oQKRcwuHqyHF93njAxBSbdUrpupump,no_valid_launch_pair,1.0,,,,,,,
45DzrxKPS4Rgerk7u6gBCB9iikF4gYVUtYE6GXbDdZkj,launch_older_than_30.0d,1.0,,,2025-04-01T18:18:05+00:00,low,,,
rT2qoS1ruY5uyLjkbAWCUT8GDSWkZvdyFj4AZDppump,no_valid_launch_pair,1.0,,,,,,,
4HBQm2EhdpUWZkTYxttxNDnsoWi5beRAGWHpjVo8pump,too_many_pairs>8_and_older_than_30.0d,10.0,,,2025-09-17T01:49:01+00:00,,,,151.34
7zWRjrP4f2g275iW9febYAkciZ2LSyMFxDmrXgGLpump,no_valid_launch_pair,1.0,,,,,,,
38Y113qQc6RJT1fip56jTKcExmSyQLdPMcNmBSsRpump,no_valid_launch_pair,1.0,,,,,,,
Bmoo4b9Sx91QeVQ3NGSGyadNRhUjgKtVFNacbef8DjkK,no_valid_launch_pair,1.0,,,,,,,
6iez2U2BNUVbKKEYNgVuuemJ3vxeu7qX3LaQCB6Rpump,no_valid_launch_pair,1.0,,,,,,,
H8fcB4CytmBhxB34CnWxs14SryA7qe5jRmCAQt86pump,no_valid_launch_pair,1.0,,,,,,,
7bmRQjvyHwghU7Ef8exe4Xf2s1oU574GNAKrJrJupump,no_valid_launch_pair,1.0,,,,,,,
7wo7zoFkorBHg5jWSZzAAbpMPBaS8KD3c3bo3F6TUNA,no_valid_launch_pair,1.0,,,,,,,
2ESXeCDXA7yzLWyqCdpWhFWz2ts43dNiij4PMm6FtByJ,launch_older_than_30.0d,1.0,,,2025-01-20T07:22:14+00:00,low,,,
GB8KtQfMChhYrCYtd5PoAB42kAdkHnuyAincSSmFpump,vol24<200000.0,6.0,,,,,73653.12,73.65k,
DDYPPycSFPYwNpp9rJH9cXZVs4Gy7Kao2m4HMhcrpump,liquidity<25000.0,2.0,24643.09,24.64k,,,,,
PoVd6avv28TrXBwdveDp4QNa4jbdTbLrXnEpDPR7T5o,no_valid_launch_pair,1.0,,,,,,,
GCKTFLxkMeUTUbuQM1k6f1cy4o4tC2V13ye2ebL3p52r,launch_older_than_30.0d,5.0,,,2025-05-26T18:03:41+00:00,high,,,
Gq8RAQYPtDZ5zPTCmEopuJqDPhcB4SEy1C4xZsXypump,no_valid_launch_pair,1.0,,,,,,,
4wTd7KSpP8ii7PPumZwC6GD3jLPvVYiW4AWzXVNepump,liquidity<25000.0,1.0,9091.67,9.09k,,,,,
Hp4E178YWcMhxnN2e19MMhi58GD5vvzGCM9DuU5Dpump,no_valid_launch_pair,1.0,,,,,,,
GztCQHHqjNJFMVxXhfjY5wYrJPUDMUSQioPjg4c7pump,liquidity<25000.0,1.0,6131.2,6.13k,,,,,
Em4rcuhX6STfB7mxb66dUXDmZPYCjDiQFthvzSzpump,no_valid_launch_pair,2.0,,,,,,,
C5YSnZkm5pTQiNqPzzzpigBuFBuqDChKPigLxZ3Spump,liquidity<25000.0,2.0,12124.44,12.12k,,,,,
B7KLfqPQP4tzymbUqnAU3bJF1JKTMgH643HxMo9j2F3W,no_valid_launch_pair,2.0,,,,,,,
4XKoq1ehteGN8BaAwoQ3sijC5fjFqgg46GovirDMpump,no_valid_launch_pair,1.0,,,,,,,
6LYdxfFH7uWK1hAuSMHeDPBL7sfS1nNDBjUve9FSpump,liquidity<25000.0,1.0,3633.39,3.63k,,,,,
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,too_many_pairs>8_and_older_than_30.0d,30.0,,,2022-11-28T02:27:11+00:00,,,,1175.31
7CXDqVCyuf9kLx4rJTqZWnR1YbzdYkJ36GcmrNVhbonk,no_valid_launch_pair,1.0,,,,,,,
