Name,Symbol,Token Address,Pair Address,DEX,age_bucket,seen_count,launch_liquidity_usd,liquidity_growth_pct,Liquidity USD,Volume 24h USD,Current MC/FDV USD,txns_h1,txns_h24,liq_to_vol,buys_h1,sells_h1,buys_h6,sells_h6,price_change_h1,price_change_h6,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,Price USD,MC Source,pairs_count,launch_dt,launch_age_hours,launch_conf,launch_pair,launch_dex,launch_quote,pairs_guard_mode,max_pairs_for_new
Dale,Dale,7MDApufGNAKDDTcM3hrUpUfZ8jcaXdaoSZy1sQdRpump,2fDUxPqLabB1zVKuEKH4bGxxtvA95mhdMenxbKUNbYP6,pumpswap,>7d,24,66455.52,3.55,68812.93,207174.7,276516.0,82,2379,0.332149,43,39,340,290,-8.09,14.55,68.81k,207.17k,276.52k,0.0002765,marketCap,3,2026-01-24T17:11:54+00:00,184.81191978527775,high,2fDUxPqLabB1zVKuEKH4bGxxtvA95mhdMenxbKUNbYP6,pumpswap,SOL,exclude,8
MangaNow,MGN,147uk4CFxsppdmKZUAakfLvduo4x459HiJ5Ct6MzJory,8vfdRerSPCQDzwTKUguAwEmQ4eQwCZ5JJ3XWV8AgoVLn,meteora,>7d,26,42281.71,95.74,82762.99,246176.47,624559.0,65,2125,0.336194,36,29,263,172,-8.82,20.88,82.76k,246.18k,624.56k,1.24,marketCap,1,2026-01-14T11:59:10+00:00,430.02414200749996,high,8vfdRerSPCQDzwTKUguAwEmQ4eQwCZ5JJ3XWV8AgoVLn,meteora,USDC,exclude,8
GreenlandSilverBank,GSBANK,5f2KbZjnJEnPpW5JqY53mv2cDH7MLixUUgxCFnLBpump,9JYyABa1nGKxNbmcyxgj4TZkZ23WgsffuSSokjSLqKEj,pumpswap,12-24h,5,45179.06,-19.41,36411.66,585755.29,167588.0,202,7892,0.062162,102,100,776,515,3.08,-24.07,36.41k,585.76k,167.59k,0.0001675,marketCap,3,2026-01-31T20:54:33+00:00,13.101086451944443,high,9JYyABa1nGKxNbmcyxgj4TZkZ23WgsffuSSokjSLqKEj,pumpswap,SOL,exclude,8
ELEMENTARDIO,AUTARDIO,4MTfiD3zN6myhMYMTMtHedyfiYhesRAXTU3JosLDpump,H2ENaoG3iJpcahnDhd2x8cTDvqHpVKH2Bs3PGmtVq4cf,pumpswap,24-48h,5,62628.68,-0.67,62211.87,560028.07,498753.0,340,65737,0.111087,268,72,1304,407,-16.47,3.44,62.21k,560.03k,498.75k,0.0004987,marketCap,3,2026-01-31T07:59:56+00:00,26.011364229722222,high,H2ENaoG3iJpcahnDhd2x8cTDvqHpVKH2Bs3PGmtVq4cf,pumpswap,SOL,exclude,8
Nietzschean Penguin,PENGUIN,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,pumpswap,>7d,72,31277.0,3274.16,1055334.6,12179023.37,40584483.0,770,36108,0.086652,291,479,2207,2045,4.34,-3.33,1.06m,12.18m,40.58m,0.04058,marketCap,29,2026-01-16T19:29:11+00:00,374.5238642297222,high,DRAf8QxQY86h7yeHdo9GytXAF6GoTTT8oZjknwXV6dCS,pumpswap,SOL,exclude,8
Elon Coin,ELON,2akXpuyFXAVN5YofZpZMfBp2Vxognpmv9NooBMuHpump,afpugRuqYSxVwEMHSV1x4EZeq8pNPU3GqaRtpxh1sue,pumpswap,48-72h,23,225985.81,10.38,249443.47,3348825.25,2774881.0,2000,26859,0.074487,982,1018,4143,4068,25.63,120.0,249.44k,3.35m,2.77m,0.002774,marketCap,9,2026-01-29T23:05:06+00:00,58.92525311861111,high,afpugRuqYSxVwEMHSV1x4EZeq8pNPU3GqaRtpxh1sue,pumpswap,SOL,exclude,8
Liora Nuclear Beam,BEAM,CV38eqqRKfhvqZ5yyuwuNFGTfof1wYvNguJXt2mZDRMj,9y3D2aVZjxGEZTHAdwhRjgxRSZ7B3Tym5SGmvMZcg8gR,meteora,3-7d,52,229822.29,-33.53,152769.66,281682.66,1393690.0,46,2150,0.542347,29,17,214,97,-0.01,-9.34,152.77k,281.68k,1.39m,0.001393,marketCap,4,2026-01-28T01:03:50+00:00,104.94636422972222,high,9y3D2aVZjxGEZTHAdwhRjgxRSZ7B3Tym5SGmvMZcg8gR,meteora,SOL,exclude,8
OpenClaw,OPENCLAW,CxoaKHTGYAUkHwzK5dazVYuG3vvEXExrGznMwX1ipump,8okPu3obEisMRVC9YM9Y6e9yZyGQr6ZrBFHQCJqbxBcw,pumpswap,48-72h,7,108662.11,19.6,129964.32,3962697.23,1062659.0,989,33923,0.032797,493,496,2873,2525,-2.02,62.19,129.96k,3.96m,1.06m,0.001062,marketCap,8,2026-01-30T04:21:30+00:00,53.65191978527778,high,8okPu3obEisMRVC9YM9Y6e9yZyGQr6ZrBFHQCJqbxBcw,pumpswap,SOL,exclude,8
x1xhlol,X1XHLOL,DEffWzJyaFRNyA4ogUox631hfHuv3KLeCcpBh2ipBAGS,Qa5ZCCwrWoPYckNXXMCAhCsw8gafgYFAu1Qes3Grgv5,meteora,>7d,53,31920.41,105.87,65713.05,307023.7,704649.0,362,4061,0.214032,159,203,795,761,-3.19,-0.53,65.71k,307.02k,704.65k,0.0007046,marketCap,19,2026-01-16T16:04:42+00:00,377.9319197852778,high,Qa5ZCCwrWoPYckNXXMCAhCsw8gafgYFAu1Qes3Grgv5,meteora,SOL,exclude,8
Fiona,Fiona,B4K4oLJJCubqn87xoyfjRjPk73zAevGnNXeuNrQypump,8gtSDQiafCqXukrQFZ5K6kbFb9kdF5btCnXMB2HfN5KK,pumpswap,0-6h,2,30218.61,0.0,30218.61,969274.05,109300.0,9061,20421,0.031177,5179,3882,11551,8870,-47.49,147.0,30.22k,969.27k,109.30k,0.0001092,marketCap,3,2026-02-01T08:18:27+00:00,1.702753118611111,high,8gtSDQiafCqXukrQFZ5K6kbFb9kdF5btCnXMB2HfN5KK,pumpswap,SOL,exclude,8
PsyopAnime,PsyopAnime,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,pumpswap,>7d,104,517031.14,-57.72,218601.52,584778.92,2155510.0,129,3731,0.373819,83,46,285,274,-1.19,-0.12,218.60k,584.78k,2.16m,0.002155,marketCap,9,2026-01-10T01:04:57+00:00,536.9277531186111,high,FpyosQzp5ijfrxqqBVNm67rfam7VsbVNAm7PUf8Yvt1c,pumpswap,SOL,exclude,8
Seeker,SKR,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,orca,>7d,80,703131.87,-18.94,569943.45,707283.27,94395486.0,349,7482,0.805821,256,93,819,698,-0.11,3.62,569.94k,707.28k,94.40m,0.01656,marketCap,30,2026-01-21T01:55:41+00:00,272.08219756305556,high,VY1ZQXjqBwvuWgVfTfhqanJe96GGoQrX7xZZDrWPGiT,orca,USDC,exclude,8
Jeffrey Epstein,Epstein,EF228ijSZdSampJMvhLUiijJGP5PTH1Z17i71JR5pump,8Hr17Az18WtcHTo5QuuLXMCxQjGzkfpBxRrnStL2gipH,pumpswap,12-24h,5,58455.35,73.87,101633.95,10208074.52,841126.0,3256,118570,0.009956,1938,1318,13554,9347,-29.28,-38.08,101.63k,10.21m,841.13k,0.0008654,marketCap,7,2026-01-31T13:47:22+00:00,20.22080867416667,high,8Hr17Az18WtcHTo5QuuLXMCxQjGzkfpBxRrnStL2gipH,pumpswap,SOL,exclude,8
Eliza Town,ELIZA TOWN,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,3MnaZsJRmGiZ7jVvWE6iCW4UscG4zjFeFW2GmAExZXvi,meteora,>7d,52,68675.69,-41.56,40135.44,230427.57,258495.0,70,3541,0.174178,17,53,125,204,14.84,17.44,40.14k,230.43k,258.50k,0.0002611,marketCap,8,2026-01-18T00:14:16+00:00,345.7724753408333,high,3MnaZsJRmGiZ7jVvWE6iCW4UscG4zjFeFW2GmAExZXvi,meteora,SOL,exclude,8
