Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,ATH_MC_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
The Crypto Dog,DOG,21CnrFRqvEVkQZUTFmTXjcsJTLZhRY51ohoaCPwRpump,pumpswap,12-24h,2026-02-05T14:09:15+00:00,19.854127419444445,95.03k,7.12m,918.61k,,14.49,12.317619504891319,6,high,5,1473,89489,0.013356,True,1,HEAT_OVERRIDE,True,True
level941,Pigeon,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,pumpswap,0-6h,2026-02-06T04:32:32+00:00,5.466071863888889,56.55k,1.72m,443.98k,,80.44,12.058756961178283,4,high,2,3400,28930,0.032897,True,1,OK+HEAT,True,True
ber,ber,G8XfMyCLW82Hq2duaf3Kw9hQXf9ntLsPvSx8qZhZpump,pumpswap,6-12h,2026-02-05T23:48:45+00:00,10.19579408611111,38.27k,2.03m,204.12k,,105.71,11.679671438901162,3,high,5,610,31534,0.01884,True,1,HEAT_OVERRIDE,True,True
Spectrum Boy,SPECTRUMBOY,6VGe7oP6g349LCN3XUQFqhoUFwqiEYUVsS4knppVpump,pumpswap,6-12h,2026-02-06T02:16:49+00:00,7.728016308333333,35.69k,1.74m,179.90k,,0.0,11.663496573839012,3,high,2,603,32492,0.020527,True,1,OK+HEAT,True,True
Clit,Clit,4ZR1R4oW9B4Ufr15FDVLoEx3rhU7YKFTDL8qgAFPpump,pumpswap,6-12h,2026-02-05T22:53:58+00:00,11.108849641666668,32.50k,1.53m,152.72k,,15.76,11.395715584638312,7,high,2,301,31624,0.021206,True,1,OK+HEAT,True,True
The Camel Whale,CamelWhale,7Ur6J1qduU8pjEdehzXQngkRRhp9aakxVUkRjDgspump,pumpswap,0-6h,2026-02-06T09:22:36+00:00,0.6316274194444444,38.02k,343.51k,239.47k,,0.0,11.19751354372892,2,high,2,3380,3380,0.110668,True,1,OK+HEAT,True,True
littlestjeff1,littlestjeff1,GdEgAfoBp4r66SWLK68fG7Ueun8xNyaKJDzpwnc9yewx,pumpswap,6-12h,2026-02-05T22:35:43+00:00,11.413016308333333,38.58k,853.42k,233.17k,,41.66,11.19635569761521,3,high,5,463,16240,0.04521,True,1,OK+HEAT,True,True
World Peace,WORLDPEACE,DzwTDNMzWps6V4XSByvTFnbcpLe7JnNkah3kCVxTpump,pumpswap,12-24h,2026-02-05T10:37:32+00:00,23.382738530555557,54.75k,1.30m,463.63k,,5.24,11.174734661241887,3,high,3,5644,51358,0.042014,True,1,OK+HEAT,True,True
The White Miner,WHITEMINER,DS23jY6zZ9BxJJEUMrYkBBhQ5kLhr1WCx7ijCbQJpump,pumpswap,0-6h,2026-02-06T09:25:38+00:00,0.5810718638888889,26.56k,413.67k,115.35k,,0.0,11.076904319599711,2,high,2,3578,3578,0.064212,True,1,OK+HEAT,True,True
NoLimit ,NoLimit ,6fC29w55f26ne7aaTH3Apqu6DWrgKk3oHmaRnd5Hpump,pumpswap,0-6h,2026-02-06T08:33:26+00:00,1.451071863888889,28.70k,301.68k,136.03k,,0.0,10.966933113200941,2,high,2,4086,7298,0.095132,True,1,OK+HEAT,True,True
GreatCryptoCrash,GCC,F2qZh2XEwr3tQQ3ssw49EBuhAn4ER435cvRtbgRUmoon,meteora,12-24h,2026-02-05T21:50:51+00:00,12.16079408611111,43.16k,341.24k,344.54k,,39.98,10.935671140624606,3,high,5,12805,75771,0.126475,True,1,OK+HEAT,True,True
