Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
Clawdeus Maximus,Clawdse,5swNWUaS57Sa8jvc5NLrt5ersrg7CYSbDPqy8Wkrpump,pumpswap,0-6h,2026-02-02T00:52:30+00:00,5.133339539166666,359.20k,1.32m,18.42m,49.23,13.01319171059628,2,high,2,2086,17590,0.271998,True,5,HEAT_OVERRIDE,True,False
Goyim,Goyim,9S8edqWxoWz5LYLnxWUmWBJnePg35WfdYQp7HQkUpump,pumpswap,12-24h,2026-02-01T15:07:23+00:00,14.885283983611112,111.16k,7.52m,1.22m,188.89,12.66848288599314,5,high,4,5483,64905,0.01479,True,1,HEAT_OVERRIDE,True,True
1ly,1LY,Aih3sbAbu39Yn7jB2Qf4btZ5eWtDGQJH2gMfC4qdBAGS,meteora,6-12h,2026-02-01T21:12:42+00:00,8.7966728725,69.72k,4.85m,767.55k,-10.44,12.523031867598561,12,high,3,912,43617,0.014373,True,1,HEAT_OVERRIDE,True,True
🧃,🧃,EZz9mFdiFqkuj4Nu5aAEiCLeZjNgNhj5gr4xa9H4pump,pumpswap,0-6h,2026-02-02T02:51:37+00:00,3.148061761388889,31.16k,1.11m,123.38k,0.0,11.557059709449941,3,high,2,2975,19545,0.028095,True,1,OK+HEAT,True,True
Throng The Thronglet,THRONG,E6rDGyFCbLZvRMm9zdmoXFGgzbKtugdFFzzUk7AZpump,pumpswap,6-12h,2026-02-01T23:30:56+00:00,6.492783983611111,41.46k,1.02m,240.76k,-71.94,11.553261876508316,4,high,2,3457,29169,0.040793,True,1,OK+HEAT,True,True
Epstein Files Inu,Lucca,3CTTSm8ZfsMob2yE7iKS83ZNWy35cpP7o5v7iJ4ypump,pumpswap,6-12h,2026-02-01T22:28:35+00:00,7.5319506502777775,25.20k,1.52m,77.98k,-30.29,11.354510054882788,4,high,2,573,22631,0.016576,True,1,HEAT_OVERRIDE,True,True
Pussycoin,Pussy,6mJ4m8vmjLbpVMjeQ4G8mYfCLzkUWSEnVEmuMjB7pump,pumpswap,12-24h,2026-02-01T14:25:50+00:00,15.577783983611113,39.08k,1.78m,176.78k,0.0,11.346811757022877,4,high,2,701,44698,0.021926,True,1,OK+HEAT,True,True
Catherine o’hara,CATHERINE,CqqHQh7vW6adjdV4DjbLuqrLSCsDHCGVrdqqWkpupump,pumpswap,0-6h,2026-02-02T04:41:05+00:00,1.3236173169444445,28.94k,539.48k,114.03k,0.0,11.26461687490956,2,high,2,8047,15183,0.053636,True,5,HEAT_OVERRIDE,True,False
Pizzagate,PIZZAGATE,4FadUrMo9xGztZDq8EZoCzyGQJpp7bGB94vwoEk6pump,pumpswap,12-24h,2026-02-01T12:33:58+00:00,17.442228428055557,30.39k,2.16m,106.29k,-21.23,11.203403345147839,3,high,4,610,40317,0.014098,True,1,HEAT_OVERRIDE,True,True
Solana 2.0,SOL2,2QZiy4wNGTthUwng5QjwjWYuWnkZiiQ4D51d1MPapump,pumpswap,0-6h,2026-02-02T05:29:33+00:00,0.5158395391666667,34.32k,329.62k,163.00k,0.0,11.135676215139148,3,high,2,7904,7904,0.104129,True,1,OK+HEAT,True,True
