rank_by_wallet_signal,Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,peak_mc_24h,minutes_since_peak_24h,hold_ratio,dump_flag,peak_mc_eligible,peak_mc_reason,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible,peak_mc_eligible,peak_mc_reason,peak_mc_gate_reason
1,Lola,Lola,E1dtJs9uY31fVJKyeekBcQD5QKw4hJcTjbYjzm3eGusB,pumpswap,0-6h,2026-01-20T04:37:42+00:00,1.3770642505555555,55.61k,1.34m,299.44k,541285.08,59.0,0.5532,HELD,True,OK,0.0,10.390114175713116,4,high,2,5550,16278,0.041594,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
2,X97 Studios,X,2KMVYxvA8hdECG8xQdKmQ8oubWVgJ4TBxwp5Le74BAGS,meteora,0-6h,2026-01-20T03:14:20+00:00,2.766508695,97.11k,1.69m,1.14m,1615042.3,14.0,0.7046,HELD,True,OK,0.0,9.675158589671614,7,high,2,4681,15004,0.057537,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
3,RIP Valentino Garavani,VALENTINO,7G4BPS3cYCvqkqJarRh5cUa8rtTMb1Vsu34Gwrifpump,pumpswap,0-6h,2026-01-20T01:30:05+00:00,4.5040086950000005,264.00k,1.04m,7.30m,7499897.9,15.0,0.9736,HELD,True,OK,50.68,8.73460386971031,2,high,2,1677,14664,0.254652,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
4,Fartless,Fartless,8AinLThG8AHdcqQ5FhDTR7TZgxJhucBvTTxEQT6ppump,pumpswap,0-6h,2026-01-20T01:10:11+00:00,4.835675361666667,102.19k,1.60m,1.01m,1363152.06,15.0,0.7398,HELD,True,OK,35.25,8.489276237365353,7,high,3,1536,18911,0.064052,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
5,Kittehcoin,MEOW,pnTQ6ZdQTxb4v9PDXxi75ofy8rVfetVq8WEaiW6BAGS,meteora,0-6h,2026-01-20T00:41:28+00:00,5.314286472777778,63.19k,1.16m,517.13k,699731.61,90.0,0.739,HELD,True,OK,43.72,8.020308611477274,3,high,3,471,11687,0.054345,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
6,Clippy,Clippy,GKjAe1bQXXLoEitJYSuyw6qt97tTVoKkGEgWPEo6pump,pumpswap,6-12h,2026-01-19T21:05:23+00:00,8.915675361666667,113.77k,3.77m,1.16m,1859098.37,195.0,0.6227,HELD,True,OK,-14.12,7.115991556915931,7,high,4,1100,30567,0.030186,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
7,NGL,NGL,3eKEQD9Ej3Usq3CLKgmYkBDXANGwV69XETvs3CNHBAGS,meteora,6-12h,2026-01-19T19:38:09+00:00,10.369564250555555,40.85k,1.16m,216.56k,507194.6,555.0,0.427,HELD,True,OK,11.57,6.1172206196270436,7,high,4,428,10766,0.035146,True,1,OK+HEAT,True,True,True,OK,OK_PEAK_HELD
8,AUTCRAFT,AUTCRAFT,Dmi1LuszVXMVnkTCcUkqxUCz3EtApAkN1vVGmyn8BAGS,meteora,12-24h,2026-01-19T12:34:21+00:00,17.432897583888888,54.87k,1.32m,329.31k,,,,,True,,-16.96,4.717284662170698,4,high,4,175,12520,0.041595,True,2,OK,False,True,True,,OK_PEAK_HELD
9,Oh Fuck,FUCK,55ovorMCtcoC1iVY5e8JUBnkc7t8qMhG9pQzn4sXfun,meteora,12-24h,2026-01-19T11:50:11+00:00,18.169008695,28.82k,1.36m,120.25k,,,,,True,,13.15,4.521567170386124,5,high,4,54,14419,0.02122,True,3,OK,False,True,True,,OK_PEAK_HELD
10,yumeko,YUMEKO,Atdut8vYNa6h9qhfJm5kr3NRkxHtTo5ya8fk1xkZdBmD,pumpswap,12-24h,2026-01-19T07:49:05+00:00,22.187342028333333,26.75k,584.38k,72.52k,,,,,True,,-18.31,3.8158231798562947,3,high,2,33,11403,0.045773,True,3,OK,False,True,True,,OK_PEAK_HELD
11,CannaClaude,Cannabis,2a2yNkuKxiQiv8Gek2MKihMYqrTxV3AUS233yeW6pump,pumpswap,12-24h,2026-01-19T06:45:16+00:00,23.250953139444444,36.81k,800.79k,132.95k,,,,,True,,-0.09,3.7977242671576596,4,high,5,72,9743,0.045971,True,3,OK,False,True,True,,OK_PEAK_HELD
