Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
THE LEPUS,LEPUS,kiJUVYSiVYjyBbG7eJ7rsxrBox74oxvPWvyPYdPpump,pumpswap,24-48h,2026-01-27T02:37:10+00:00,31.388692423055556,96.00k,1.74m,802.36k,11.12,5.5186360108618295,1,high,16,1330,32514,0.055124,True,1,OK+HEAT,True,True
Club Penguin,CPENG,258Po41aeXsh3jyqt5TqcJ4JSQe4rnSVd9wvcNPupump,pumpswap,24-48h,2026-01-26T18:45:46+00:00,39.24535908972222,99.49k,2.08m,785.56k,9.04,4.8645299199276115,1,high,19,2392,61403,0.047852,True,1,OK+HEAT,True,True
Barking Puppy,BP,3B1ijcocM5EDga6XxQ7JLW7weocQPWWjuhBYG8Vepump,pumpswap,24-48h,2026-01-26T11:58:46+00:00,46.02869242305555,181.88k,4.25m,2.18m,8.61,4.642791383333465,3,high,4,419,23031,0.042792,True,1,OK+HEAT,True,True
Barking Puppy,PUPPY,BYsRMRKpDf2QYuR8ugeiCh8SggwDh1QUhPmuUHDxpump,pumpswap,24-48h,2026-01-26T11:36:49+00:00,46.39452575638889,63.25k,1.26m,218.40k,-5.48,4.1448344597937,5,high,20,109,12803,0.050315,True,1,OK+HEAT,True,True
Pigeon Doctor ,PIGEON ,GB8KtQfMChhYrCYtd5PoAB42kAdkHnuyAincSSmFpump,pumpswap,48-72h,2026-01-25T23:04:49+00:00,58.92785908972222,214.73k,6.66m,3.59m,-0.58,4.026596054172544,5,high,4,879,36264,0.032241,True,1,OK+HEAT,True,True
Clawd,CLAWD,DzrScTJ32QqLWNQz6UEwRe5QaTw9SJbAepAuh95wBAGS,meteora,48-72h,2026-01-26T08:00:29+00:00,50.00008131194444,44.62k,844.92k,265.49k,-0.16,3.872426534003055,4,high,21,242,7708,0.052814,True,1,OK+HEAT,True,True
Dumb Money ,DM,BMhHXK6XQSGLkX3KjoUcppmBsssUKAqUYwQ68tMzpump,pumpswap,48-72h,2026-01-26T05:22:59+00:00,52.62508131194444,57.26k,1.01m,234.85k,9.25,3.77597804562501,2,high,17,224,9475,0.056532,True,1,OK+HEAT,True,True
Eva Everywhere,EVA,4gfNpwo8LQtcgGrNmgWhuwfFhttgZ8Qb6QXN4Yz8BAGS,meteora,48-72h,2026-01-25T20:42:04+00:00,61.30702575638889,163.99k,1.88m,3.10m,-4.1,3.7244794584656176,8,high,17,191,9691,0.087385,True,1,OK+HEAT,True,True
copper inu,COPPERINU,61Wj56QgGyyB966T7YsMzEAKRLcMvJpDbPzjkrCZc4Bi,pumpswap,24-48h,2026-01-26T17:42:39+00:00,40.297303534166666,518.21k,16.57m,13.35m,4.14,3.3308616253560857,14,high,15,1133,70769,0.031281,True,1,OK+HEAT,True,True
Retarded Chicken,CHICKEN,EwcVckR7G28Hzzg4XxBnEC3uEYjgKx9kyLQBsbLHpump,pumpswap,48-72h,2026-01-25T10:58:50+00:00,71.02758131194445,103.93k,1.44m,636.71k,20.14,3.1863327364999385,8,high,14,1655,14560,0.071973,True,1,OK+HEAT,True,True
Coinbase Coin,COINBASE,6QaQZFFZkCCqE7UyAFRDBMhvKoui11nv3ugeBvn2pump,pumpswap,48-72h,2026-01-26T01:25:21+00:00,56.5856368675,49.56k,623.27k,155.16k,-6.82,2.089802060136066,13,high,23,152,10615,0.079508,True,1,OK+HEAT,True,True
