Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
Lola,Lola,E1dtJs9uY31fVJKyeekBcQD5QKw4hJcTjbYjzm3eGusB,pumpswap,3-7d,2026-01-20T04:37:42+00:00,73.38013120138888,64.03k,425.76k,334.06k,15.13,1.5474243557086496,2,high,5,46,3380,0.150383,True,3,OK,False,True
Kittehcoin,MEOW,pnTQ6ZdQTxb4v9PDXxi75ofy8rVfetVq8WEaiW6BAGS,meteora,3-7d,2026-01-20T00:41:28+00:00,77.31735342361111,57.01k,343.50k,432.43k,29.67,1.45886457787692,2,high,10,59,2972,0.16596,True,3,OK,False,True
Fartless,Fartless,8AinLThG8AHdcqQ5FhDTR7TZgxJhucBvTTxEQT6ppump,pumpswap,3-7d,2026-01-20T01:10:11+00:00,76.83874231249999,52.76k,278.61k,239.19k,-30.18,1.4455007171896455,5,high,13,143,6216,0.189351,True,3,OK,False,True
Ryan Air,RyanAir,9R4zqfeasqeEKCEQxX89gbK5dXvkYegNxHmnZWjTpJWY,pumpswap,3-7d,2026-01-19T18:23:49+00:00,83.61152009027778,51.06k,577.79k,158.35k,-55.41,1.3920187748526056,4,high,4,138,6816,0.088366,True,3,OK,False,True
Purple Shiba,SHIB,CUXr2PLKMfMGb5snB1FXBYAbs7xCAfrQdb6dYgvpump,pumpswap,3-7d,2026-01-19T20:47:27+00:00,81.21763120138888,47.69k,310.11k,236.71k,12.56,1.3814423887266152,1,high,7,789,86871,0.153785,True,1,OK+HEAT,True,True
BridgeMind,BRIDGE,32Bea1jmNj2669zP3JEzqoP6JgZH7cLYhmnQ5cNrBAGS,meteora,3-7d,2026-01-19T02:16:14+00:00,99.73790897916666,44.76k,259.62k,267.71k,-23.95,1.1389193451379345,3,high,3,15,2071,0.172421,True,3,OK,False,True
nocode,NOCODE,79VXvEt7xSPhvQggeJ75UVqD41yXJwBS44zrstreBAGS,meteora,3-7d,2026-01-18T22:00:44+00:00,103.9962423125,31.46k,622.91k,116.19k,-62.03,1.1341378877168207,4,high,15,142,5124,0.050506,True,3,OK,False,True
 Sock and Pussy 500,SNP500,3yr17ZEE6wvCG7e3qD51XsfeSoSSKuCKptVissoopump,pumpswap,3-7d,2026-01-18T17:27:33+00:00,108.54929786805555,76.54k,742.17k,361.13k,-40.78,1.1318670061139304,4,high,4,131,6512,0.103129,True,3,OK,False,True
just a frog,FROG,FWGWrsrvgcz1w6LjSSnuHB5y6KyWXhUKjLWhvDSJ48hE,meteora,3-7d,2026-01-18T14:13:33+00:00,111.78263120138888,777.19k,220.14k,58.53m,16.54,1.1169507501840843,1,high,12,3,193,3.530418,False,5,low_txns,False,False
ORX RESERVE,ORX,4en9WPFYu1gare2qKxjCQM6doc4yzvPjTqmp9sjUmoon,meteora,3-7d,2026-01-18T19:56:51+00:00,106.06096453472222,102.46k,205.36k,601.79k,-36.14,1.0942749277542034,1,high,2,66,1735,0.498943,True,3,OK,False,True
Marge Simpson,MARGE,EPEUQHkKcbe7heQN7JA3ftjQYEFCNJLgyJqbt7V7BAGS,meteora,3-7d,2026-01-18T11:21:38+00:00,114.64790897916666,73.71k,751.78k,728.77k,268.95,1.0862597638439428,3,high,22,151,7167,0.098046,True,2,OK,False,True
Fitcoin,Fitcoin,Hvcmd51zk2vVkeAkYbNgSKsAX17hof2vLsihG9J2pump,pumpswap,3-7d,2026-01-18T00:12:39+00:00,125.79763120138888,75.26k,606.79k,448.25k,41.27,0.9818277594958521,5,high,41,216,22193,0.124031,True,2,OK,False,True
Eliza Town,ELIZA TOWN,CZRsbB6BrHsAmGKeoxyfwzCyhttXvhfEukXCWnseBAGS,meteora,3-7d,2026-01-18T00:14:16+00:00,125.77068675694444,61.28k,484.68k,449.59k,-10.77,0.9631926142083672,8,high,42,82,4559,0.126435,True,3,OK,False,True
Nietzschean Penguin,PENGUIN,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,pumpswap,3-7d,2026-01-16T19:29:11+00:00,154.52207564583333,338.22k,5.43m,8.38m,981.36,0.942926349817161,5,high,14,1525,32764,0.062317,True,1,OK+HEAT,True,True
Wreck it Ralph,WRECKIT,7BJ6Mogdczju5hGGzpCqEvLVBTdDu6ixGUH3MMHmBAGS,meteora,3-7d,2026-01-17T22:19:26+00:00,127.68457564583333,40.75k,349.66k,222.62k,-45.46,0.9223018891479688,4,high,17,80,4038,0.116545,True,3,OK,False,True
bǐngwǔ,丙午,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump,pumpswap,3-7d,2026-01-16T13:59:53+00:00,160.01040897916667,149.57k,876.85k,1.72m,291.13,0.822974127505378,8,high,24,8677,190933,0.170574,True,1,OK+HEAT,True,True
Golem,GOLEM,Dq3Fwkvo9zC87RmZ6ZKEYiztnAyr6qX9wmYjHJgiBAGS,meteora,3-7d,2026-01-16T21:57:34+00:00,152.04902009027776,60.75k,387.02k,495.38k,28.66,0.8006764408913689,4,high,13,36,2887,0.156973,True,3,OK,False,True
Gru,GRU,HXU8HiXKeMBTZ9QCSxWrdGySBhbHeJLhGbY6b4z6BAGS,meteora,3-7d,2026-01-16T16:43:40+00:00,157.28068675694445,58.01k,297.52k,451.47k,-32.69,0.7635173629736411,3,high,21,33,2476,0.194982,True,3,OK,False,True
Primis Protocol,PRIMIS,2DfBjrPFZjDTiCY6pxchS6aSdUdEpkm7PdqpovHjBAGS,meteora,3-7d,2026-01-16T16:59:23+00:00,157.0187423125,60.45k,256.10k,491.69k,52.61,0.7617389036277309,4,high,0,26,2384,0.236049,False,5,not_persistent_yet,False,False
INMU,INMU,4FDtAagigMuFcPp36rbd9bzcYTJgQah2qLMYcYtfpump,pumpswap,3-7d,2026-01-16T09:11:58+00:00,164.80902009027778,58.12k,266.47k,256.68k,-31.19,0.7269386824647324,5,high,30,137,2790,0.218115,True,3,OK,False,True
Huggi,HUGGI,96zMCM9nALK2cDv5p2CiDkGrgbJX9McCnQkxyBaoBAGS,meteora,3-7d,2026-01-16T06:00:50+00:00,167.99457564583332,36.37k,436.13k,176.91k,-66.66,0.721202371744844,4,high,5,51,3336,0.0834,True,3,OK,False,True
