Name,Symbol,Token Address,DEX,age_bucket,launch_dt,launch_age_hours,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,liquidity_growth_pct,wallet_hunt_signal,pairs_count,launch_conf,seen_count,txns_h1,txns_h24,liq_to_vol,wallet_scan_candidate,wallet_scan_priority,shortlist_reason,heat_override,wallet_scan_eligible
Nietzschean Penguin,PENGUIN,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,pumpswap,>7d,2026-01-16T19:29:11+00:00,350.52381461944447,1.29m,13.28m,51.27m,4036.52,10.552374437071718,30,high,68,1121,41870,0.097416,True,5,HEAT_OVERRIDE,True,False
Seeker,SKR,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,orca,>7d,2026-01-21T01:55:41+00:00,248.08214795277777,595.70k,894.34k,104.15m,-15.28,9.96380974498735,30,high,76,392,9884,0.666074,True,5,HEAT_OVERRIDE,True,False
U.S Oil,USOR,USoRyaQjch6E18nCdDvWoRgTo6osQs9MUd8JXEsspWR,meteora,>7d,2026-01-08T22:49:34+00:00,539.1840923972222,716.78k,1.58m,34.65m,97.67,9.38050537825416,29,high,86,175,4734,0.453086,True,5,HEAT_OVERRIDE,True,False
2131KOBUSHIDE,21,4vGHdzcNrDf8XVE8H19Rqea86RULz7xi89ew1sSJpump,pumpswap,>7d,2026-01-09T02:06:23+00:00,535.9038146194445,278.14k,884.17k,4.02m,18.27,8.73701382275091,6,high,51,95,11072,0.314574,True,1,OK+HEAT,True,True
ZERO-HUMAN COMPANY,ZHC,AWc8uws9nh7pYjFQ8FzxavmP8WTUPwmQZAvK2yAPBAGS,meteora,>7d,2026-01-22T17:50:33+00:00,208.16770350833332,68.83k,573.17k,638.82k,-59.0,8.643693281620708,4,high,67,42,3834,0.120086,True,3,OK,False,True
PsyopAnime,PsyopAnime,2nP9yKQNSGQy851iyawDvBkzkK2R2aqKArQCKc2gpump,pumpswap,>7d,2026-01-10T01:04:57+00:00,512.9277035083334,224.95k,797.95k,2.09m,-56.49,8.518884084682036,9,high,100,94,4420,0.281907,True,1,OK+HEAT,True,True
bǐngwǔ,丙午,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump,pumpswap,>7d,2026-01-16T13:59:53+00:00,356.01214795277775,131.47k,349.24k,1.23m,243.81,8.459207346573761,8,high,82,2966,43094,0.37646,True,1,OK+HEAT,True,True
MangaNow,MGN,147uk4CFxsppdmKZUAakfLvduo4x459HiJ5Ct6MzJory,meteora,>7d,2026-01-14T11:59:10+00:00,406.0240923972222,115.63k,527.24k,1.22m,173.48,8.340648119303532,1,high,22,220,3282,0.219314,True,2,OK,False,True
Get Shit Done,GSD,8116V1BW9zaXUM6pVhWVaAduKrLcEBi3RGXedKTrBAGS,meteora,>7d,2026-01-17T00:30:57+00:00,345.494370175,94.20k,322.06k,1.32m,42.19,8.252535440950695,15,high,102,42,2189,0.292495,True,3,OK,False,True
The Mountain,Mountain,GASfLqDbE8c9w8mjKknxaHeDMmdy9usGwM1GwzVJpump,pumpswap,>7d,2026-01-23T13:09:50+00:00,188.84631461944443,61.18k,229.82k,200.79k,-27.12,8.145653055163084,4,high,31,106,2624,0.266208,True,5,sell_dominant_h1,False,False
Whalentine,Whalentine,Fr7vfUAWgmg84L3VuHKiyzTJx3x3V6xU5pn9328Wpump,pumpswap,>7d,2026-01-17T23:47:42+00:00,322.21520350833333,51.76k,402.62k,287.20k,117.42,8.078434771491148,2,high,28,64,8163,0.128565,True,1,OK+HEAT,True,True
LSD,$LSD,4SDfM29FFTmQDGKBHtThh9oYhdRcwPSTqYVgJ6EtyLSD,meteora,>7d,2026-01-08T17:59:28+00:00,544.0190923972223,101.99k,254.27k,1.11m,-56.9,7.999441282891583,1,high,69,530,8343,0.401135,True,1,OK+HEAT,True,True
Minecraft Grandma Fund,Grandma,axUxN2q4AWzHaU6LXmjqQh7KEjaXDPKScjmzwEBpump,pumpswap,>7d,2026-01-14T04:53:23+00:00,413.1204812861111,128.37k,205.42k,872.10k,-36.11,7.927389329141817,4,high,101,26,1463,0.624888,True,3,OK,False,True
hex,HEX,7karUWvThwhCPmdaa1EuP6NgjmJvA5eKTKK1GaiFpump,pumpswap,>7d,2026-01-22T00:07:56+00:00,225.8779812861111,28.48k,312.76k,94.69k,-39.56,7.848386472323077,1,high,2,2,1529,0.091074,True,3,OK,False,True
Ralph Wiggum,RALPH,CxWPdDBqxVo3fnTMRTvNuSrd4gkp78udSrFvkVDBAGS,meteora,>7d,2026-01-05T06:37:56+00:00,627.3779812861111,62.20k,386.66k,554.17k,-88.3,7.839971127373011,25,high,72,67,4091,0.16086,True,5,HEAT_OVERRIDE,True,False
